马克思列宁主义 毛泽东思想
国际事务 代表性
上层建筑 经济基础
现代化 面向世界
积极性 创造性
初级阶段 基本路线
民主党派 无党派人士
科技进步 劳动者
多种形式 规模经营
五位一体 总体布局
领导集体 各族人民
马克思主义 基本原理
国有经济 控制力
第三代 领导集体
一国两制 基本方针
信息化 城镇化
标本兼治 综合治理
青少年 思想道德
社会主义 建设者
中华民族 根本利益
党中央 高度一致
紧密团结 党中央
党风廉政 责任制
人民战争 战略战术
决策权 执行权
几代人 十几代
十三届 四中全会
官僚资本主义 三座大山
年轻化 知识化
数以千万计 专门人才
每时每刻 发生变化
统分结合 双层经营
自主经营 自负盈亏
发展中国家 团结合作
德治国 相结合
爱国统一战线 发展壮大
多种形式 集体经济
严厉打击 犯罪活动
互不干涉 内部事务
五湖四海 任人唯贤
八十年代 九十年代
国际局势 风云变幻
复杂性 艰巨性
密集型 劳动密集型
封建主义 三座大山
封建主义 官僚资本主义
帝国主义 封建主义
建言献策 服务大局
承前启后 继往开来
时代化 大众化
有法可依 有法必依
服务网络 社区卫生
民族特色 时代特色
相信群众 依靠群众
石漠化 水土流失
集体领导 分工负责
党和国家 生命线
城乡居民 社会保障
党风廉政 反腐败
中华文化 影响力
大团结 海内外
海内外 大团结
各族人民 大团结
代表性 发言权
勤劳勇敢 自强不息
同呼吸 共命运
方法论 集中体现
杰出贡献 工作者
热点问题 此起彼伏
经济总量 第六位
高级干部 以身作则
党组织 软弱涣散
司法制度 审判机关
和平解决 国际争端
奥运会 残奥会
学前教育 特殊教育
廉洁自律 大案要案
拥军优属 拥政爱民
社会主义 和谐社会
公信力 执行力
尊重群众 首创精神
社会化 服务体系
社会主义 伟大胜利
中华儿女 大团结
发展观 战略思想
人口比例 人大代表
各党派 各界人士
所有权 经营权
打防结合 预防为主
群众利益 密切相关
高等教育 内涵式
和平解决 热点问题
国际争端 热点问题
党中央 集中统一
领导班子 干部队伍
世界观 方法论
优秀人才 脱颖而出
几十代 坚持不懈
绝不允许 以言代法
始终不渝 奋斗目标
马克思主义 大众化
公民道德 建设工程
财政政策 货币政策
优先发展 战略地位
执行权 监督权
知识化 专业化
行政区 高度自治权
集约化 专业化
一百年 奋斗目标
社会主义 优越性
共产党员 先进性
社会主义 价值观
国际竞争 日趋激烈
广大党员 模范作用
法制观念 依法办事
义务教育 全面实现
物质文明 两手抓
决不允许 有令不行
决不允许 有禁不止
第三步 战略目标
非传统 相互交织
物质文明 精神文明
精神文明 物质文明
一致性 多样性
中国化 时代化
人民解放军 革命化
共同理想 信仰者
基本方针 宗教界
妇女干部 少数民族
革命化 年轻化
科技成果 生产力
忧患意识 居安思危
生态系统 稳定性
全党全国 团结奋斗
人人有责 和谐社会
创造性 创新性
第十七次 全国代表大会
第十九次 全国代表大会
第十五次 全国代表大会
第十八次 全国代表大会
委员会 全体会议
坚决执行 党的路线
水土流失 综合治理
血脉相连 共同体
优化结构 提高效益
基本国策 妇女儿童
积极参与 外交活动
改革开放 伟大事业
社会主义 精神文明
改革开放 基本点
居民收入 国民收入
城镇职工 养老保险
各族人民 共同奋斗
对外开放 基本国策
中国化 大众化
产业结构 生产方式
正确认识 妥善处理
共同富裕 稳步前进
人民满意 服务型
数以亿计 高素质
广泛开展 健身运动
主动性 创造性
劳动者 数以千万计
意识形态 领导权
数以亿计 劳动者
事业单位 人事制度
石漠化 综合治理
坚持不懈 努力奋斗
放在首位 社会效益
产学研 技术创新
战略性 新兴产业
社会主义 接班人
妇女儿童 合法权益
男女平等 基本国策
党和国家 长治久安
官僚主义 弄虚作假
控制力 影响力
代表大会 任期制
党组织 充满活力
社会效益 经济效益
共同利益 汇合点
个人帐户 相结合
分工负责 相结合
社区卫生 服务体系
主旋律 多样化
始终保持 精神状态
严格执行 党风廉政
计划生育 保护环境
香港特别行政区 基本法
政治协商 决策程序
社会效益 社会效益
三百万 台湾同胞
求真务实 开拓进取
精神文明 两手抓
综合国力 竞争力
价值体系 深入人心
以人为本 执政为民
均等化 功能区
深入开展 法制宣传
时代精神 爱国主义
爱国统一战线 统一战线
妥善处理 内部矛盾
党中央 万众一心
党中央 保持一致
党和人民 实践经验
事实证明 一国两制
积极性 主动性
本世纪 二十年
现代化 三步走
全方位 多层次
全面提高 科学化
国有企业 人事制度
整体实力 竞争力
党组织 带头人
新形势下 战略方针
机遇期 求真务实
物质文明 政治文明
信息化 工业化
党组织 领导班子
一九九二年 邓小平
正确处理 内部矛盾
计划生育 基本国策
信息化 军事训练
两岸关系 和平统一
社会主义 荣辱观
人才培养 明显提高
党的基本 党和国家
反腐败 压倒性
工作者 积极性
城镇化 现代化
官僚主义 形式主义
力量对比 有利于
发展壮大 国有经济
管理体制 国有资本
产学研 相结合
中国共产党 第十七次
中国共产党 第十九次
中国共产党 第十五次
中国共产党 第十八次
社会主义 伟大事业
人民代表大会 中国共产党
充分认识 反腐败
充分调动 积极性
始终保持 共产党人
现阶段 两岸关系
严格执行 责任制
知识分子 工人阶级
公有制 主体作用
国民经济 整体素质
生命力 创造力
建立健全 社会化
体制改革 总体方案
市场经济 外部环境
人民政协 政治协商
高素质 专业化
全党同志 各族人民
深入开展 创建活动
主要矛盾 日益增长
广泛开展 理想信念
人民代表大会 常委会
国民教育 精神文明
马克思主义 时代化
与时俱进 求真务实
改革开放 强国之路
全党全国 共同奋斗
发展中国家 国际事务
城乡居民 保障制度
城乡居民 养老保险
依法治国 根本保证
小康社会 奋斗目标
城镇化 明显提高
始终不渝 独立自主
生产关系 生产力
人民政协 民主监督
新世纪 历史使命
各族人民 紧密团结
少数民族 合法权益
集体主义 社会主义
继续加强 基础设施
各族人民 根本利益
相结合 技术创新
竞争力 明显增强
政治文明 精神文明
工业化 现代化
社会主义 自我完善
经济社会 人与自然
宏观调控 资源配置
生产力 上层建筑
小康社会 宏伟目标
精神文明 全过程
国有企业 事业单位
高素质 劳动者
伟大旗帜 邓小平理论
优秀人才 党和国家
团结互助 社会主义
新民主主义 社会主义
社会主义 司法制度
国有经济 国民经济
市场经济 组成部分
医疗卫生 服务体系
投融资 体制改革
学习型 党组织
社会主义 总体布局
社会主义 政治文明
党的建设 科学化
工业化 城镇化
服务业 对外开放
党的领导 党的建设
科学技术 生产力
党中央 全党同志
科技进步 经济社会
建立健全 服务体系
公有制 毫不动摇
初级阶段 基本纲领
信息化 重大进展
改革开放 历史性
党和国家 方针政策
中华民族 五千多年
现代化 武装警察
现代化 第三步
社会主义 深入人心
高水平 小康社会
全面提高 党的建设
领导集体 马克思列宁主义
充分发挥 积极性
有利于 祖国统一
社会主义 基本路线
文化产业 国民经济
中华民族 先锋队
中华民族 发展史
社会主义 相适应
伟大胜利 中华民族
国有企业 国民经济
社会主义 社会主义
改革开放 历史进程
二十年 改革开放
社会主义 制度化
始终保持 马克思主义
进一步 解放思想
积极性 生产力
生产力 综合国力
现代化 新格局
社会主义 吸引力
社会主义 才能救
社会主义 正反两方
根本利益 党和国家
中华文化 中华民族
经济体制 国民经济
有利于 党和国家
马克思主义 意识形态
社会主义 展现出
体制改革 宏观调控
人与自然 现代化
现代化 决定性
奋斗目标 中华民族
解放思想 改革开放
社会主义 物质文明
社会主义 领导核心
依法治国 党的领导
社会主义 本质属性
总任务 社会主义
意味着 社会主义
比较完善 社会主义
体制改革 有利于
爱国主义 社会主义
改革开放 市场经济
体制改革 社会主义
现代化 中华民族
社会主义 新高潮
社会主义 法制建设
体制改革 进一步
社会主义 前进方向
社会主义 根本任务
各族人民 改革开放
社会主义 什么样
社会主义 意识形态
不断完善 社会主义
社会主义 历史进程
改革开放 社会主义
马克思主义 马克思主义
妥善处理 社会主义
社会主义 基本纲领
社会主义 共产主义
充满活力 社会主义
依法治国 社会主义
当家作主 社会主义
初级阶段 社会主义
价值体系 社会主义
社会主义 二十一
市场经济 社会主义
社会主义 一系列
党的领导 社会主义
充分发挥 社会主义
生产力 社会主义
经济体制 社会主义
先进性 社会主义
对外开放 社会主义
现代化 社会主义
有利于 社会主义
社会主义 马克思主义
社会主义 改革开放
社会主义 中华民族
